Pdose,Ndose,energy,model,Vd,Voltage,Current
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.551999605,-0.00000000000000023863
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.451999605,-0.00000000000000020499
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.351999605,-0.00000000000000017299
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.251999605,-0.00000000000000010614
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.151999605,-0.00000000000000003288
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,-0.051999605,-0.00000000000000000653
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.048000395,0.00000000000000001129
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.148000395,0.00000000000000028346
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.248000395,0.00000000000000993595
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.348000395,0.00000000000043436519
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.448000395,0.00000000002025526341
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.548000395,0.00000000095933925466
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.648000395,0.00000004548288419080
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.748000395,0.00000200135164707000
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.848000395,0.00003757033722720000
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,0.948000395,0.00017684638367800000
100000000000000000.00000000000000000000,1000000000000000.00000000000000000000,45,ChargedReact,-1,1,0.00028835516559300000
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-1,-0.00000000000002099707
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.98,-0.00000000000002085277
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.950666667,-0.00000000000002063681
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.907644444,-0.00000000000002031038
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.844545185,-0.00000000000001980945
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.751999605,-0.00000000000001902224
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.651999605,-0.00000000000001809172
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.551999605,-0.00000000000001707410
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.451999605,-0.00000000000001595071
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.351999605,-0.00000000000001471054
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.251999605,-0.00000000000001333538
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.151999605,-0.00000000000001181405
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,-0.051999605,-0.00000000000000898860
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.048000395,0.00000000000004640429
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.148000395,0.00000000000201105398
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.248000395,0.00000000006577610723
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.348000395,0.00000000176184469441
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.448000395,0.00000003303895830190
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.548000395,0.00000035645462055600
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.648000395,0.00000253209840711000
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.748000395,0.00001133894250080000
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.848000395,0.00002009488377750000
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,0.948000395,0.00002406843050430000
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,30,Constant,-1,1,0.00002553902185310000
1000000000000000000.00000000000000000000,10000000000000000000.00000000000000000000,60,Constant,0.05,0.05,0.00000000000000000101
1000000000000000000.00000000000000000000,10000000000000000000.00000000000000000000,60,Constant,0.05,0.0595,0.00000000000000000153
1000000000000000000.00000000000000000000,10000000000000000000.00000000000000000000,60,Constant,0.05,0.07375,0.00000000000000000277
1000000000000000000.00000000000000000000,10000000000000000000.00000000000000000000,60,Constant,0.05,0.095125,0.00000000000000000655
1000000000000000000.00000000000000000000,10000000000000000000.00000000000000000000,60,Constant,0.05,0.1271875,0.00000000000000002304
